"year","month","total_revenue"
2018.0,August,1137653.0
2018.0,September,1054621.0
2018.0,October,784715.0
2018.0,July,758340.0
2018.0,December,429522.0
2018.0,November,346709.0
2019.0,August,2023045.0
2019.0,July,1884293.0
2019.0,September,1289643.0
2019.0,June,1144800.0
2019.0,May,1073278.0
2019.0,October,1072102.0
2019.0,April,896591.0
2019.0,March,767337.0
2019.0,November,688843.0
2019.0,December,657871.0
2019.0,February,484171.0
2019.0,January,264521.0
2020.0,August,1970182.0
2020.0,July,1817038.0
2020.0,June,1438491.0
2020.0,May,1321936.0
2020.0,April,1203266.0
2020.0,March,884761.0
2020.0,February,663371.0
2020.0,January,512155.0
