"year","meal","Cost","days","total_rev"
2018.0,BB,12.99,36665.0,476278.0
2018.0,HB,17.99,9405.0,169196.0
2018.0,SC,35.0,1080.0,37800.0
2018.0,FB,21.99,532.0,11699.0
2018.0,Undefined,0.0,621.0,0.0
2019.0,BB,12.99,94414.0,1226438.0
2019.0,HB,17.99,18928.0,340515.0
2019.0,SC,35.0,8013.0,280455.0
2019.0,FB,21.99,810.0,17812.0
2019.0,Undefined,0.0,1815.0,0.0
2020.0,BB,12.99,61359.0,797053.0
2020.0,SC,35.0,9050.0,316750.0
2020.0,HB,17.99,14753.0,265406.0
2020.0,FB,21.99,323.0,7103.0
2020.0,Undefined,0.0,1454.0,0.0
